text	label
انا براي الجات في راسي الغنية بتاعت "ليمون بارا ليمون أخضر و كبارا"؟	NEUTRAL
يا خلاصة الحسن كلو قلبي ريدك ما بيملو	NEUTRAL
فولكر اتوقع انهيار تحالف الحلو وحميدتي والدعم السريع لانها مجرد مليشيا خاصة تمارس النهب والقتل والاغتصاب	HATE
مالم تتاكد بانك المقصود لا تجازف لا تحكم لا تتهور لا تعترف لا تعاتب لا تغضب لا تسئ الظن لا تتوهم لا تحب Dr 7up	NEUTRAL
ما شاء الله الاميره الله يحفظك بس لو غطيتي شعرك تكوني اجمل	OFFENSIVE
معركة_الكرامة الجيش يدمر مخزن للاسلحة وعشرات العربات وراجمة صورايخ للمليشيا المتمردة باحدى المزارع بمنطقة الحلفايا معركة_الكرامة الخرطوم_مقبرة_الجنجويد كرامة_الجيش_كرامة_شعب	HATE
الحنااك عرفتا عشان يحنك السعر الكوز دا عشان يعمل شنو	OFFENSIVE
آمين يارب، ربنا يسهل ونفتح المحل بس.	NEUTRAL
إن #توفير_احتياجات_الاحياء ليس بالامر الصعب إذا ما وعي كل طرف دوره على الصعيدين الشعبي والحكومي غير أن الشعب تنقصه التوعيه والحكومه ينقصها التخطيط السليم.. وما العقبات الحقيقية إلا في المحليات لما فيها من تجاوزات وخروقات وخيرا فعلوا إذ ألغوا منصب المعتمد	NEUTRAL
معليش يا زولي كلنا اتهرسنا	OFFENSIVE
حمدوك قال تبطلو نيعرصه بلاش من شكرا حمدوك والاخوان ماقصرو اختصروها لي #ش_ح_ك	OFFENSIVE
من أجمل ما جاءت به الاسافير	NEUTRAL
فظائع الملاقيط في معسكر زمزم المواطنين النازحين يقتلون بدم بارد بدعم اماراتي حسبي الله ونعم الوكيل	HATE
فاج عة البحر الابيض المتوسط و الرحلة الاخيرة لشباب ولاية الجزيرة تفاصيل الخبر على الرابط اخبار_السودان السودان_الان السودان عاجل السودان_اليوم الراي_السوداني الاخبار_العاجلة تابعنا على تيلجرام	NEUTRAL
موقع غلوبال العبري زعيم الميليشيا ياسر ابو شباب في صورة من رفح لاظهار انه بخير بعد ان ادعت حماس انها هاجمته	NEUTRAL
الناطق الرسمي باسم تقدم د بكري الجاك ستنواصل مع قيادة الجيش والبلاغ غير مؤثر الصحفي اشرف عبدالعزيز	NEUTRAL
ما اجمل ان تشعر بان هناك قلوب يسعدها احساس الجمال	NEUTRAL
مصفاة الجيلي هلاك العقيد خلا علي كيمان دهب الملقب بقرع زايل ونعيمكي زايل شالت القرع	OFFENSIVE
