id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	final_label	method	human_verified
3	فولكر اتوقع انهيار تحالف الحلو وحميدتي والدعم السريع لانها مجرد مليشيا خاصة تمارس النهب والقتل والاغتصاب	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
6	معركة_الكرامة الجيش يدمر مخزن للاسلحة وعشرات العربات وراجمة صورايخ للمليشيا المتمردة باحدى المزارع بمنطقة الحلفايا معركة_الكرامة الخرطوم_مقبرة_الجنجويد كرامة_الجيش_كرامة_شعب	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
13	فظائع الملاقيط في معسكر زمزم المواطنين النازحين يقتلون بدم بارد بدعم اماراتي حسبي الله ونعم الوكيل	war_corpus	violence_reporting	NEUTRAL	HATE	HATE	2	HATE	majority_vote	
19	جيشنا الباسل يدمر منصة اطلاق صواريخ تابعة للمليشيا الارهابية المتمردة في مدينة نيالا، وهلاك جميع المرتزقة الموجودين في المبنى نصر من الله، وفتح قريب تابعونا على الرابط قناة التلغرام _ قناة الواتساب	war_corpus	violence_incitement	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
23	هم كلاب اكون معاهم كيف؟؟؟	war_corpus	dehumanizing	OFFENSIVE	HATE	HATE	2	HATE	majority_vote	
28	تدمير قوة كبيرة للجنجويد جنوب مدني وتدمير عدد كبير من اليات الجنجويد تدمير ارتكاز فداسي الذي يعتبر الاكبر شمال مدني ذلك بواسطة المسيرات والطيران انهاك كبير لقوات التمرد بود مدني ، تتكامل فيه المحاور والوسائل والادوات قريبا قريبا يشع الامل باذن الله نصر من الله وفتح قريب	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
35	قوات الجيش السوداني والقوات المشتركة للحركات تتوجه لمحاصرة مدينة الجنينة عاصمة ولاية غرب دارفور بعد دخولها الى كلبس الرسالة249 معركة_الكرامة	war_corpus	profanity	OFFENSIVE	HATE	NEUTRAL	3	HATE	gpt_tiebreaker	
50	ينصصصصر ديينك يا منصووور يا ولد حمدااان	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	HATE	gpt_tiebreaker	
53	في ناس كتير نفسها كان تشوف الطيران لمن يضرب الجنجويد وقبل يرفعوهم ويصوروا هاكم المقطع الجنجويد مقطعين شرق النيل سوبا شرق ام عشوش نار وشرار	war_corpus	hate_tribal	HATE	HATE	HATE	1	HATE	full_agreement	
55	مني اركو مناوي الانسانية لا تتجزا الهدنة يجب ان يسبق انسحاب الجنجويد والمرتزقة من المناطق السكنية والمستشفيات و المدن و الافراج عن المختطفين بمن فيهم الاطفال والنساء و تامين عودة النازحين لمن تكون هدنة دون حماية المدنيين و محاسبة مرتكبي الجرائم؟ اي هدنة بغير ذلك ، تعني تقسيم السودان	war_corpus	hate_political	HATE	HATE	NEUTRAL	2	HATE	majority_vote	
