id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	majority_label	agree_count	ws_confidence
1	انا براي الجات في راسي الغنية بتاعت "ليمون بارا ليمون أخضر و كبارا"؟	old_twitter	random_no_keyword	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	2	1.0
2	يا خلاصة الحسن كلو قلبي ريدك ما بيملو	old_twitter	random_no_keyword	NEUTRAL	NEUTRAL	OFFENSIVE	2	NEUTRAL	2	1.0
3	فولكر اتوقع انهيار تحالف الحلو وحميدتي والدعم السريع لانها مجرد مليشيا خاصة تمارس النهب والقتل والاغتصاب	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
4	مالم تتاكد بانك المقصود لا تجازف لا تحكم لا تتهور لا تعترف لا تعاتب لا تغضب لا تسئ الظن لا تتوهم لا تحب Dr 7up	war_corpus	random_no_keyword	NEUTRAL	OFFENSIVE	NEUTRAL	2	NEUTRAL	2	0.0
5	ما شاء الله الاميره الله يحفظك بس لو غطيتي شعرك تكوني اجمل	old_twitter	random_no_keyword	NEUTRAL	OFFENSIVE	OFFENSIVE	2	OFFENSIVE	2	0.0
6	معركة_الكرامة الجيش يدمر مخزن للاسلحة وعشرات العربات وراجمة صورايخ للمليشيا المتمردة باحدى المزارع بمنطقة الحلفايا معركة_الكرامة الخرطوم_مقبرة_الجنجويد كرامة_الجيش_كرامة_شعب	war_corpus	hate_tribal	HATE	HATE	NEUTRAL	2	HATE	2	0.673
7	الحنااك عرفتا عشان يحنك السعر الكوز دا عشان يعمل شنو	old_telegram	hate_political	OFFENSIVE	OFFENSIVE	NEUTRAL	2	OFFENSIVE	2	1.0
8	آمين يارب، ربنا يسهل ونفتح المحل بس.	old_twitter	random_no_keyword	NEUTRAL	NEUTRAL	NEUTRAL	1	NEUTRAL	3	1.0
9	إن #توفير_احتياجات_الاحياء ليس بالامر الصعب إذا ما وعي كل طرف دوره على الصعيدين الشعبي والحكومي غير أن الشعب تنقصه التوعيه والحكومه ينقصها التخطيط السليم.. وما العقبات الحقيقية إلا في المحليات لما فيها من تجاوزات وخروقات وخيرا فعلوا إذ ألغوا منصب المعتمد	old_twitter	profanity	OFFENSIVE	NEUTRAL	NEUTRAL	2	NEUTRAL	2	1.0
10	معليش يا زولي كلنا اتهرسنا	old_twitter	profanity	OFFENSIVE	OFFENSIVE	OFFENSIVE	1	OFFENSIVE	3	1.0
11	حمدوك قال تبطلو نيعرصه بلاش من شكرا حمدوك والاخوان ماقصرو اختصروها لي #ش_ح_ك	old_twitter	hate_political	OFFENSIVE	OFFENSIVE	OFFENSIVE	1	OFFENSIVE	3	1.0
12	من أجمل ما جاءت به الاسافير	old_twitter	random_no_keyword	NEUTRAL	NEUTRAL	NEUTRAL	1	NEUTRAL	3	1.0
13	فظائع الملاقيط في معسكر زمزم المواطنين النازحين يقتلون بدم بارد بدعم اماراتي حسبي الله ونعم الوكيل	war_corpus	violence_reporting	NEUTRAL	HATE	HATE	2	HATE	2	1.0
14	فاج عة البحر الابيض المتوسط و الرحلة الاخيرة لشباب ولاية الجزيرة تفاصيل الخبر على الرابط اخبار_السودان السودان_الان السودان عاجل السودان_اليوم الراي_السوداني الاخبار_العاجلة تابعنا على تيلجرام	war_corpus	neutral_news	NEUTRAL	NEUTRAL	NEUTRAL	1	NEUTRAL	3	1.0
15	موقع غلوبال العبري زعيم الميليشيا ياسر ابو شباب في صورة من رفح لاظهار انه بخير بعد ان ادعت حماس انها هاجمته	war_corpus	violence_reporting	OFFENSIVE	NEUTRAL	NEUTRAL	2	NEUTRAL	2	1.0
16	الناطق الرسمي باسم تقدم د بكري الجاك ستنواصل مع قيادة الجيش والبلاغ غير مؤثر الصحفي اشرف عبدالعزيز	war_corpus	neutral_news	OFFENSIVE	NEUTRAL	NEUTRAL	2	NEUTRAL	2	1.0
17	ما اجمل ان تشعر بان هناك قلوب يسعدها احساس الجمال	old_telegram	random_no_keyword	NEUTRAL	NEUTRAL	NEUTRAL	1	NEUTRAL	3	0.0
