priority	id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	majority_label	human_label
1	18	مصفاة الجيلي هلاك العقيد خلا علي كيمان دهب الملقب بقرع زايل ونعيمكي زايل شالت القرع	war_corpus	random_no_keyword	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
2	135	شباب مدني بكرة محاكمه ثوار المليونية ما بتتوصو...ابقو كتااار محكمة الجنايات الساعة صباحاً #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
3	224	#زلزال_الكنداكة الاثنين و الاربعاء من كل اسبوع برعاية لجان مقاومة ود نوباوي #تسقط_بس	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
4	235	#مليونية6ابريل ساقطين يا تجار الدين بإذن الله العظيم #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
5	594	في وطني #السودان أشخاص يفسدون في الأرض يومياً ولا يخافون يوماً كان مقدارهُ خمسون ألف سنة #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
6	763	فاطمة الصادق الشهيرة بفاطمة شاش صحفية قالت انو كل الطلعو مظاهرات مدمنين للشاش وقبل فترة كتبت انو اي بيت سوداني فيه زاني وسكران	old_twitter	revolution_terms	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
7	1137	المقاطعة شاملة حتى السلع والخدمات البعلنوا اصحابها في القناة او الصحيفة عشان كدة متجرس الفورة مليون تسقط بس حكومة تجار الدين	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
8	1468	ونحن معانا رب الكون والمرتزفة حقنك ديل وربك انت زاااااتك وتسقط بس #نناضل_لا_نساوم #مدن_السودان_تنتفض #مليونيه30يونيو	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
9	1499	لك التحية ولكل الشرفاء امثال مصطفى تمبور انتهى_وقت_الحياد هذه_الارض_لنا نصر_الله_قواتنا_المسلحة بل_بس	war_corpus	dehumanizing	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
10	1544	لو البشير بكرة مات عديل موكبنا قائم.. #موكب6ابريل #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
11	1684	عزيزي المواطن، لا تنسى أن تشتم الحكومة وتقول #تسقط_بس ثلاثا قبل أن تخرج من بيتك.	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
12	1817	عينك فوقو تركب فوقو قوقو اخوانهم جرو وعادة الدعامة بيجرو	war_corpus	hate_political	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
13	2201	عرفتو عن الثورة من تويتر المليان سودانيين، أضعف الإيمان احترموا أخلاقيات واساسيات مهنتكم واسألوا واتعلموا، ما لحقنا ناخد بريك من عنصريتكم لسة علشان تبدو تنظير وكذب وفلسلفة ومزايدة علينا.	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
14	2536	مرقت مرقت مصر و كتمت ربنا معاكم يا اولاد النيل و بالتوفيق و النصر على كل خاين و قاتل و حرامي تسقط بس يا سيسي من ارض النيلين المدنية مني لكم اكبر و اجمل تحية #ميدان_التحرير #جمعة_الغضب #ارحل_يا_سيسي	old_twitter	dehumanizing	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
15	2608	صباح التبلدي ما عاوزين حميدتي	old_twitter	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
16	2636	سيدفع حايز رخصه التشغيل الثمن وسنرغمه علي الانسحاب من السوق السوداني من عرض حياه المدنيين للخطر بتعاونه مع الاجهزه الامنيه تحرم عليه قروشنا سنواصل طريقنا نحو الدوله المدنيه مهما حشد العسكر من ادوات والغلبه للافراد اصحاب الكتل النقديه عند اتحادهم #مواكب_يوليو_الظافره #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
17	2651	سرقوا حُقوقنا وزردوا حُلوقنا.. ديل عاوزين دمائنا تسيل.. نحن ونحن الشرف الباذخ.. نحن نموت ويحيا النيل #مليونية6ابريل #تسقط_بس	old_twitter	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
18	2728	مفروض اديك معاي من نسبه الأرباح الجاتني بسبب اغنيتك دي واصلي ومغرزيهم السناغل المساكين ديل	old_twitter	random_no_keyword	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
19	2813	حميدتي اختيار موفق من حمدوك للوقت الحالي ليس إلا ك أكبر تاجر دهب واكبر تاجر عمله لاغير يمكنه تسير الأوضاع الاقتصاديه لتلميع نفسه بأحسن مايكون كل إيراد جبل عامر في جيبو فبالتالي حينفق على الدوله ويدعم الازمه ولا مكانة له ولاقبول #شكرآ_حمدوك	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
20	2986	ليست مهيلة وحدها بل ذهب الدراعة الي غرب الحصاحيصا منطقة سليم ولقنوا المجرم قجة درس في الادب والطاعة اكسح__امسح	war_corpus	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
21	3187	البينا بينكم دم وبكره الحساب يجمع عدو الشوارع كم؟ وشوفونا كيف نطلع انا وانت ما بنتلم والورقة تتقطع	war_corpus	threats	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
22	3204	وزراة تعليم الانقلاب تقرر ايقاف الدراسة و فرض عقوبات على كل جامعة تواصل الدراسة حتى لو نقلت الطلاب الى خارج السودان و تجميد القبول للعام ٢٠٢٣ و ٢٠٢٤ يعني لازم تشلو الحياة يعني لازم كل الناس تقيف عشان حرب البرهان حميدتي لازم الدولة تنهار بدل تشجعو البجاهدو في الظروف دي	war_corpus	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
23	3373	بعدين موضوع السقوط متناقض مع اسمهم، انتو اهدموا و هم بجو بعدين يبنوا بيكم	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
24	3531	وااااسفاه لما مجلس عسكري انتقالي يكون فيهو برهان اللي قال هو (رب الفور وح يمحيهم جميعا وزي حميدتي(ما اظن درس ثانوي) اللي مرتكب جرائم إبادة في دارفور والله م ح تقوم لينا قائمة. #مدن_السودان_تنتفض #اعتصام_القيادة_العامة #لم_تسقط_بعد	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
25	3551	الترند الاول الحمد لله الله ينصرنا بكرا على العفن البشير و وحاشيته ويا رب الكل بكره يرجع بيته سالم وتسقط بس #موكب6ابريل #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
26	3625	بكره الموكب بكره الموكب بكره الموكب بكره الموكب #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
27	3846	السيد رئيس الجمهورية لا يرضينا الا تناذلك من حكم البلاد رساله واضحة شديد #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
28	4042	يازول ماتشيل شيلتك براك! داير تدخلنا معاك ليه؟" طبعاً الزول ده رباطابي و المختطف شايقي..	old_twitter	hate_tribal	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
29	4064	الدويلة شغاله حمله تلميع في نفسها اجلدوا الدويلة الرابط	war_corpus	threats	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
30	4376	تسقط_بس النظام الفاسد محاصر وساقط لا محال الثبات يا أحرار	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
31	4377	عمر أبن الخطاب لوماتت شاة علي شط الفرات ضائعة لظننت ان الله تعالي سائلي عنها يوم القيامه اين انت من هذا يا عمر البشير الناس بتموت ظلم في الشوارع تسقط بس	old_twitter	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
32	4444	#تسقط_بس #مدن_السودان_تنتفض كتب القاضي الاسبق- مولانا سيف الدولة حمدناالله: *حول "زفّة" قاضي الطوارئ!!* القاضي تاج الدين إدريس الذي حكم على النساء المتظاهرات بالجلد (مع السجن) وإصراره على تنفيذ الجلد فور صدور...	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
33	4645	الأول السلطان قابوس علية الرحمة ونسأل الله له الجنة والثاني الراقص كابوس الله ينتقم منه	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
34	4669	نحن ما عاوزين تعديل نظام ...نحن عاوزين نسقط النظام كلو #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
35	5167	عمر البشير المؤتمر الوطني البِسقط أول هو الفائز جاااطت ثم سقطت #تسقط_بس #موكب27مارس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
36	5250	حرية بالمكشوف ودنوباوي #موكب٢٨مارس #تسقط_بس	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
37	5357	الى قوات الدعم السريع موتو بغيظكم	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
38	5560	يفضل واحد بس ولمن يجو يعملو بيت العزاة والحكومة تجي تعزي يعاديهم كلهم ويموتو قبل ما يمرقو من بيت العزاة	old_twitter	violence_reporting	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
39	5577	مدنية بس والمجد للوطن العزيز والموت اشد الموت لمن لا عقل لهم ولا دين	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
40	5864	رئيس الوزراء الماليزى وباعث نهضتها أشار الى فشل #السودان فى تقليد التجربة الماليزية لاختلاف الثقافات ولم يشر الى فساد الاخوان واكلهم اموال البلد.	old_twitter	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
41	6161	الناس لمن وزعو ليهم عمر الزهور، نحنا وزعو لينا عمر البشير ومعاهو حميدتي وناس الكهرباء	war_corpus	humanitarian	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
42	6234	تاريخ المجرم العاق الرزيقي عمر شارون منتحل الشخصية ال93	war_corpus	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
43	6284	قل للذين يوزعون الموت باسم الله في الطرقات ، الله حي لا يموت	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
44	6374	الكارهون سوف يكرهون يا طاهرة،أعرضي ما تيسر لك من جسدك،غيرة و أرواح و أجساد شريرة	old_twitter	random_no_keyword	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
45	6457	الله اكبر على كل من طغى وتجبر هذه_الارض_لنا نصر_الله_قواتنا_المسلحة بل_بس	war_corpus	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
46	6470	العمل الخاص استلمت 2 دوشكا و فطست 6 متمردين قووووقو نااااشف النصر_المبين	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
47	6512	من جوه المقدم خلا حبيب حريكة مسؤول المدفعية بالدعم السريع المتمرد واثر سكترمة رائش النعماني الحبيبة يبدو ان دعوة مظلوم من داناته وصلته الزنانات فوووووق الله غالب طارق محمد خالد	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
48	6782	نحن الفرن حلتنا ببيع لينا بآكياس مجان انتو منو؟	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
49	6842	إثيوبيا وقطر وكل لدول الشقيقة والصديقة عدا مصر حليف إسرائيل الاستراتيجي	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
50	7292	هكذا سيكون مصير كل من يكون خادم لي ملاقيط المستعمر ودولة ٥٦	war_corpus	threats	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
51	7314	هوي مسيرية شنو مع جيش	war_corpus	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
52	7318	اليس هذا الذي تدعوه مولانا مطلوب لمحكمة الجنايات الدولية والبشير كذلك #تسقط__بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
53	7324	#مدن_السودان_تنتفض ياليتهم.! وبنفس قوة بطشهم بالأبرياء بطشوا بمن سرق الرغيف من الجياع أو ليتهم وبنفس نهمتهم على سفك الدماء إسترجعوا شبرا" من الوطن المضاع! #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
54	7438	الناس دي مالها جادة كدة ماقلت يوم يومين بجوطو ويسكتو #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
55	7479	مصيبه الفي الهوا ده ينزل في ناس ولا ليهم علاقه بالحاصل	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
56	7574	تجمع المهنيين وقوي الحرية والتغيير المجلس العسكري يطلب مواجهة في تكذيبكم الاتفاق معه علي فتح الطرقات في شئ غير مفهوم حميدتي لا يعرف تمليس الكلام يتحدث بعفوية كبيرة والمؤتمر الصحفي فيه كثير من التنازل والتسامح مع المعتصمين والمواطنين أين المشكلة يا تجمع؟؟ #لم_تسقط_بعد #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
57	7751	"بوتفليقة" رغم تاريخه العريق ادرك ان الزمن قد تجاوزه فاستقال أما "بلوي فليقة" الذي اتت به صدف التاريخ فانه يصر على ان يقود حملة لإنقاذ البلاد من الإنقاذ #تسقط_بس #مدن_السودان_تنتفض	old_twitter	profanity	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
58	7886	البرهان من كافوري دبلوا ليهم وتلتوا ليهم	war_corpus	profanity	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	
59	7991	اكيد لا! لانو لو حنتحاسب على احلامنا الناس دي كلها حتخش النار!!	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
60	8242	إن كان النفاق بشرا يسير بين الناس فان #حسن (طرحة) يمثله #مدن_السودان_تنتفض #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
61	8441	السياسي المتدين ذخروصلاح لمكانه ومركزه ومجتمعه، والمتدين السياسي نقمة وفتنه وتحايل وتسلق باسم الدين وتملق قبيح للدكتاتوريه العسكرية وحكم الفرد.تسقط اللحى المشبوهه وتحيا الثورة.#اعتصام_القياده_العامه #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	
