id	text	source	keyword_cat	ws_label	gpt_label	llama_label	tier	majority_label	agree_count	ws_confidence
3	فولكر اتوقع انهيار تحالف الحلو وحميدتي والدعم السريع لانها مجرد مليشيا خاصة تمارس النهب والقتل والاغتصاب	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
18	مصفاة الجيلي هلاك العقيد خلا علي كيمان دهب الملقب بقرع زايل ونعيمكي زايل شالت القرع	war_corpus	random_no_keyword	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	0	0.0
19	جيشنا الباسل يدمر منصة اطلاق صواريخ تابعة للمليشيا الارهابية المتمردة في مدينة نيالا، وهلاك جميع المرتزقة الموجودين في المبنى نصر من الله، وفتح قريب تابعونا على الرابط قناة التلغرام _ قناة الواتساب	war_corpus	violence_incitement	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
35	قوات الجيش السوداني والقوات المشتركة للحركات تتوجه لمحاصرة مدينة الجنينة عاصمة ولاية غرب دارفور بعد دخولها الى كلبس الرسالة249 معركة_الكرامة	war_corpus	profanity	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	0.561
50	ينصصصصر ديينك يا منصووور يا ولد حمدااان	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
81	والله سمعت وفد التفاوض دي انا افتكرتو جاي من جوبا	old_twitter	violence_incitement	HATE	NEUTRAL	OFFENSIVE	3	NO_MAJORITY	0	1.0
87	مستني زول من قبيييل يعلق	old_twitter	random_no_keyword	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
109	ان يسموك كافر وانت تبحث عن الحقيقة، خير لك من ان يسموك مؤمن و انت تقلد جهلهم صوت_الجمهورية	war_corpus	religious_sectarian	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
135	شباب مدني بكرة محاكمه ثوار المليونية ما بتتوصو...ابقو كتااار محكمة الجنايات الساعة صباحاً #تسقط_بس	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	0.0
145	الزول دا ما عاين لي كل نهاية طاغية من فرعون والمعاهو ستالين موسيليني هتلر لي شارون قذافي	old_twitter	random_no_keyword	NEUTRAL	OFFENSIVE	HATE	3	NO_MAJORITY	0	1.0
152	عضو مجلس السيادة مساعد القائد العام للقوات المسلحة وقائد القيادة الجوالة الفريق اول ركن ياسر العطا مخاطبا قوات سلاح المدرعات ومتحركات العمليات اللاحقة هناك تامر قوى اقليمية ودولية يهدف لنهب موارد افريقيا وتقاسم النفوذ، وقد شمل ذلك حشد اموال، سلاح، ومرتزقة فيديو منصتنا علي فيسبوك	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
182	فليعم الجبناء انا غدا آتون.. سندق معاقلهم ، ونبيد جحافلهم والويل للكيزان ، الويل للكيزان الذكري الأولي لثورة ديسمبر المجيدة "اول هاشتاق يعبر عن الثورة" #مدن_السودان_تنتفض	old_twitter	hate_political	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
199	حققت شنو لي نفسي الامه دي كلها التحرق	war_corpus	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
208	التبرعات ضعيفه جدا يا جيش همتكم معانا	war_corpus	violence_incitement	HATE	NEUTRAL	OFFENSIVE	3	NO_MAJORITY	0	1.0
224	#زلزال_الكنداكة الاثنين و الاربعاء من كل اسبوع برعاية لجان مقاومة ود نوباوي #تسقط_بس	old_twitter	hate_tribal	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	0.0
235	#مليونية6ابريل ساقطين يا تجار الدين بإذن الله العظيم #تسقط_بس #مدن_السودان_تنتفض	old_twitter	revolution_terms	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	0.0
245	لندن الان سفارة دويلة الشر تظاهرات_الغضب_من_اجل_الفاشر UAEFundsRSF UAEkillsSudanese	war_corpus	threats	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
264	يجب ان ننشر الانتهاكات ونذكر ان حربنا مع مرتزقة يحملون حقد ضد المواطن	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
268	شجب محامو الطوارئ في بيان ، اغتصاب عدد من افراد مليشيا الدعم السريع لفتاة بجزيرة توتي بالخرطوم بنحو وحشي تحت تهديد السلاح، وقالوا ان قوة من المليشيا اعتدت على المدنيين الذين اعترضوا على هذا الفعل الشنيع ما ادى لمقتل شخص واصابة ستة اخرين	war_corpus	neutral_news	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	0.529
275	هم شعروا بقرب سقوطهم لذلك افتعلوا الحريق ليخفوا به بلاويهم #تسقط_بس	old_twitter	violence_reporting	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
279	خارج السور لا تعترضوا سبيل موكبهم ، فقط على الثوار ان يقوموا بنشر صور الذين سيشاركون في موكب الكيزان يوم ١٤ ، وتحويلها للكنداكات في قروب منبرشات زمن الدسدسة والغتغيت انتهى	war_corpus	threats	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
282	أعدّوا لهؤلاء الذين كفروا بربهم الذين بينكم وبينهم عهد إذا خفتم خيانتهم وغدرهم، ما أطقتم أن تعدّوه لهم من الآلات التي تكون قوة لكم عليهم من السلاح والخيل، تخيفون بإعدادكم ذلك عدو الله وعدوكم من المشركين.— تفسير القرآن لـ الطبري	old_telegram	religious_sectarian	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
289	هلاك المرتزق ملاح احمد، احد قادة الهجوم الاخير المؤثرين على مدينة بابنوسة بولاية غرب كردفان مع ابن اخيه صالح احمد، وذلك خلال المواجهات التي دارت مع الفرقة ٢٢ مشاة دنيا زايلي، ونعيمكي زايل	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
295	أمسيات #اعتصام_القياده_العامه عيادات متنقلة صيدليات خدمات الشاي والقهوة غناء وشعر في حب #السودان قرآن وترانيم ودعوات اللهم سودان بلا كيزان #تسقط_بس #مدن_السودان_تنتفض	old_twitter	hate_political	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
298	في تخوم كادقلي جنوب ولاية كردفان انهى الجيش اي وجود لمتمردي حركة عبد العزيز الجبانة وكذلك للميليشيا الدموية اجتمع الاعداء لكسر جيشنا الابي فاذاقهم الويل بصموده وتضحياته	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
327	محور سنار نار وشرار الله اكبر بفضل الله اولا ثم قواتنا المسلحه الباسلة،، تم التامين حتى المنطقه B وتدمير ٦ كروزرات للعدو وعدد ٥ دوشكا وجغم اكثر من 31 فطيس ولسه البل مستمر باذن الواحد الاحد حتتحرر قريبا دعواتكم نصر من الله وفتح قريب امن_يا_جن	war_corpus	profanity	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
343	قيادة القوات المسلحة السودانية رفعت التمام من قلب المقدمة لتحرير كردفان القائد عبدالله جنا و القائد ابوعاقلة كيكل واعلان الزحف وبدا تطهيرها	war_corpus	hate_tribal	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
368	انباء عن هلاك القيادي بمليشيات الدعم السريع النزير بخيت عبدالرحمن ابيرص دنيا زايلي ونعيمكي زايل	war_corpus	hate_tribal	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
393	انسحاب المرتزقه من خمسة قرى بالجزيرة والجيش يسيطر عليها بالكامل والان الجيش شغال دعواتكم ليهم بالنصر والثبات لاسباب م بفصح باسماء القرى لكن ممكن الناس المعاهم دعامة تتصلو تتاكدو من اهلكم، ونصر من الله وفتح قريب الشكري	war_corpus	hate_political	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
401	متحرك درب النضال يكمل استعداداته لدك معاقل مليشيا البرهان ومرتزقة الحركات ببورتسودان The Darb al Nida al Division completes its preparations to dismantle the strongholds of SAF and the mercenary movements in Port Sudan معركة_الديمقراطية حراس_الثورة_المجيدة	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
405	عبر المسيرات تم استهداف تجمعات للمليشيات في امبدات قبل قليل وتم تدمير ارتكازين وهلاك العشرات من المليشيا ،القوات تتقدم بفضل الله وقوتة ننتصر	war_corpus	violence_reporting	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
427	في عمليات نوعية عبر العمل الخاص والمسيرات في محاور الخرطوم بحري ، تم القضاء على 11 من مرتزقة المليشيا، بما في ذلك قائدهم، داخل منزل في كافوري كما تم تصفية تجمع كبير من الجنجويد بالقرب من مسجد النور في نفس المنطقة	war_corpus	hate_tribal	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	0.587
448	شايقينا ياخ ليك وحشة والله	old_twitter	hate_tribal	HATE	NEUTRAL	OFFENSIVE	3	NO_MAJORITY	0	0.929
472	البغلي السعر هم السماسرة او جشع اصحاب الخرفان لانو الخروف في بلدو ارخص بكثير وسمعت في فيديو واحد بقول سعر الخروف من مكانه اقل من10 الف ورسوم الخروف لحدي ما يصل الخرطوم يكلف 100جنيه وتكلفة تصريح لمن يجي الخرطوم بزيد الف زيادة يعني ربح الخروف الواحد ج الله غالب	old_twitter	hate_political	HATE	NEUTRAL	OFFENSIVE	3	NO_MAJORITY	0	0.933
474	السودان يتهم كينيا بدعم الدعم السريع خرق للسيادة وتهديد لوحدة الدول الافريقية تابعنا علي تلغرام	war_corpus	threats	OFFENSIVE	HATE	NEUTRAL	3	NO_MAJORITY	0	1.0
497	احد المجرمين الدعامة الذين صوروا مشهد تصفية الاسرى ويظهر بزي الدعم السريع لقد قتلوا اسرى من الجيش	war_corpus	hate_political	NEUTRAL	HATE	OFFENSIVE	3	NO_MAJORITY	0	1.0
